position	link_query
96:1:1	قرا
96:1:2	سمو
96:1:3	ربب
96:1:4	ٱلَّذِى
96:1:5	خلق
96:2:1	خلق
96:2:2	انس
96:2:4	علق
96:3:1	قرا
96:3:2	ربب
96:3:3	كرم
96:4:1	ٱلَّذِى
96:4:2	علم
96:4:3	قلم
96:5:1	علم
96:5:2	انس
96:5:5	علم
96:6:3	انس
96:6:4	طغي
96:7:2	راي
96:7:3	غني
96:8:2	إِلَىٰ
96:8:3	ربب
96:8:4	رجع
96:9:1	راي
96:9:2	ٱلَّذِى
96:9:3	نهي
96:10:1	عبد
96:10:2	إِذَا
96:10:3	صلو
96:11:1	راي
96:11:3	كون
96:11:5	هدي
96:12:2	امر
96:12:3	وقي
96:13:1	راي
96:13:3	كذب
96:13:4	ولي
96:14:2	علم
96:14:4	اله
96:14:5	راي
96:15:4	نهي
96:15:5	سفع
96:15:6	نصي
96:16:1	نصي
96:16:2	كذب
96:16:3	خطا
96:17:1	دعو
96:17:2	ندو
96:18:1	دعو
96:18:2	زبن
96:19:3	طوع
96:19:4	سجد
96:19:5	قرب
68:1:2	قلم
68:1:4	سطر
68:2:3	نعم
68:2:4	ربب
68:2:5	جنن
68:3:3	اجر
68:3:4	غير
68:3:5	منن
68:4:3	خلق
68:4:4	عظم
68:5:1	بصر
68:5:2	بصر
68:6:2	فتن
68:7:2	ربب
68:7:4	علم
68:7:6	ضلل
68:7:8	سبل
68:7:10	علم
68:7:11	هدي
68:8:2	طوع
68:8:3	كذب
68:9:1	ودد
68:9:3	دهن
68:9:4	دهن
68:10:2	طوع
68:10:3	كلل
68:10:4	حلف
68:10:5	مهن
68:11:1	همز
68:11:2	مشي
68:11:3	نمم
68:12:1	منع
68:12:2	خير
68:12:3	عدو
68:12:4	اثم
68:13:1	عتل
68:13:2	بعد
68:13:4	زنم
68:14:2	كون
68:14:4	مول
68:14:5	بني
68:15:1	إِذَا
68:15:2	تلو
68:15:4	ايي
68:15:5	قول
68:15:6	سطر
68:15:7	اول
68:16:1	وسم
68:16:3	خرطم
68:34:2	وقي
68:34:3	عند
68:34:4	ربب
68:34:5	جنن
68:34:6	نعم
68:35:1	جعل
68:35:2	سلم
68:35:3	جرم
68:36:3	كيف
68:36:4	حكم
68:37:1	أَم
68:37:3	كتب
68:37:5	درس
68:38:5	خير
68:39:1	أَم
68:39:3	يمن
68:39:5	بلغ
68:39:6	إِلَىٰ
68:39:7	يوم
68:39:8	قوم
68:39:12	حكم
68:40:1	سال
68:40:4	زعم
68:41:1	أَم
68:41:3	شرك
68:41:4	اتي
68:41:5	شرك
68:41:7	كون
68:41:8	صدق
68:42:1	يوم
68:42:2	كشف
68:42:4	سوق
68:42:5	دعو
68:42:6	إِلَىٰ
68:42:7	سجد
68:42:9	طوع
68:43:1	خشع
68:43:2	بصر
68:43:3	رهق
68:43:4	ذلل
68:43:6	كون
68:43:7	دعو
68:43:8	إِلَىٰ
68:43:9	سجد
68:43:11	سلم
68:44:1	وذر
68:44:3	كذب
68:44:5	حدث
68:44:6	درج
68:44:8	حيث
68:44:10	علم
68:45:1	ملو
68:45:4	كيد
68:45:5	متن
68:46:1	أَم
68:46:2	سال
68:46:3	اجر
68:46:6	غرم
68:46:7	ثقل
68:47:1	أَم
68:47:2	عند
68:47:3	غيب
68:47:5	كتب
68:51:2	كود
68:51:3	ٱلَّذِى
68:51:4	كفر
68:51:5	زلق
68:51:6	بصر
68:51:8	سمع
68:51:9	ذكر
68:51:10	قول
68:51:12	جنن
68:52:3	إِلَّا
68:52:4	ذكر
68:52:5	علم
73:1:2	زمل
73:2:1	قوم
73:2:2	ليل
73:2:3	إِلَّا
73:2:4	قلل
73:3:1	نصف
73:3:3	نقص
73:3:5	قلل
73:4:2	زيد
73:4:4	رتل
73:4:5	قرا
73:4:6	رتل
73:5:2	لقي
73:5:4	قول
73:5:5	ثقل
73:6:2	نشا
73:6:3	ليل
73:6:5	شدد
73:6:6	وطا
73:6:7	قوم
73:6:8	قول
73:7:4	نهر
73:7:5	سبح
73:7:6	طول
73:8:1	ذكر
73:8:2	سمو
73:8:3	ربب
73:8:4	بتل
73:8:5	إِلَىٰ
73:8:6	بتل
73:9:1	ربب
73:9:2	شرق
73:9:3	غرب
73:9:5	اله
73:9:6	إِلَّا
73:9:8	اخذ
73:9:9	وكل
73:12:3	نكل
73:12:4	جحم
73:13:1	طعم
73:13:3	غصص
73:13:4	عذب
73:13:5	الم
73:14:1	يوم
73:14:2	رجف
73:14:3	ارض
73:14:4	جبل
73:14:5	كون
73:14:6	جبل
73:14:7	كثب
73:14:8	هيل
73:15:2	رسل
73:15:3	إِلَىٰ
73:15:4	رسل
73:15:5	شهد
73:15:8	رسل
73:15:9	إِلَىٰ
73:15:11	رسل
73:16:1	عصي
73:16:3	رسل
73:16:4	اخذ
73:16:5	اخذ
73:16:6	وبل
73:17:1	كيف
73:17:2	وقي
73:17:4	كفر
73:17:5	يوم
73:17:6	جعل
73:17:7	ولد
73:17:8	شيب
73:18:1	سمو
73:18:2	فطر
73:18:4	كون
73:18:5	وعد
73:18:6	فعل
73:19:3	ذكر
73:19:5	شيا
73:19:6	اخذ
73:19:7	إِلَىٰ
73:19:8	ربب
73:19:9	سبل
74:1:2	دثر
74:2:1	قوم
74:2:2	نذر
74:3:1	ربب
74:3:2	كبر
74:4:1	ثوب
74:4:2	طهر
74:5:1	رجز
74:5:2	هجر
74:6:2	منن
74:6:3	كثر
74:7:1	ربب
74:7:2	صبر
74:8:1	إِذَا
74:8:2	نقر
74:8:4	نقر
74:9:3	يوم
74:9:4	عسر
74:10:2	كفر
74:10:3	غير
74:10:4	يسر
74:11:1	وذر
74:11:3	خلق
74:11:4	وحد
74:12:1	جعل
74:12:3	مول
74:12:4	مدد
74:13:1	بني
74:13:2	شهد
74:14:1	مهد
74:14:3	مهد
74:15:2	طمع
74:15:4	زيد
74:16:3	كون
74:16:4	ايي
74:16:5	عند
74:17:1	رهق
